
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| CSzMqIdhkf          | a136f77afc4bcd9518dac379280ce0d11a207b87 | oTb3evxLzZUY2sN5KAzg0Roge4c | 67.252.88.11    |              48 |
| macTORtogo          | afb6f6e9f7bc58497cb4c0762c34a3257f480a6a | r7b26fe8WEl8tMB2LDSjJX9ICmo | 178.202.107.175 |              48 |
| yellow              | e30c895345f4e6a51a6750a1519cd48dd97fbc31 | 4wyJU0X05qUaZ1ChUZzUjdl/vDE | 107.190.128.44  |              48 |
| PPTOR0010           | 5ccdc37c00cfeb0d022b0f4dfd7d177dced399f3 | XM3DfADP6w0CKw9N/X0Xfc7TmfM | 202.60.66.32    |              48 |
| rootplexus          | fd9d45620959d3a5ed429ee18be549de16980239 | /Z1FYglZ06XtQp7hi+VJ3haYAjk | 76.17.188.71    |              48 |
| toxiroxiRU          | 0e3cb00ddc93737cf3bf0a1bc1d88c3dfa1b42ff | DjywDdyTc3zzvwobwdiMPfobQv8 | 46.38.56.237    |              48 |
| hypnos              | cca1be38f343cf1e1b4bb1857a786957b056dc0f | zKG+OPNDzx4bS7GFenhpV7BW3A8 | 217.16.182.20   |              48 |
| ToreTorson          | d3ad0e14ca0183cffb8938fe9caef4904a5fd26d | 060OFMoBg8/7iTj+nK70kEpf0m0 | 87.113.60.243   |              48 |
| MuhFreedomsAzza2    | d441c3eb7b67803abf49020c1097c59c6c4ac913 | 1EHD63tngDq/SQIMEJfFnGxKyRM | 192.3.116.197   |              48 |
| toxiroxiUK          | 646bbb4bbcb77e7cf45ce058616e209f9e520e0d | ZGu7S7y3fnz0XOBYYW4gn55SDg0 | 37.220.10.51    |              48 |
| bauruine102         | b5870226b0232ad74cb8dda0d71276306c11cd2a | tYcCJrAjKtdMuN2g1xJ2MGwRzSo | 62.210.137.230  |              48 |
| SwissGeeks04        | 64a1f18c6ca5492da0bff9c84001a487af1d114f | ZKHxjGylSS2gv/nIQAGkh68dEU8 | 83.77.82.208    |              48 |
| DarkRiverTollway    | af579e338b69ee4936ab19f3a44205783eb7717e | r1eeM4tp7kk2qxnzpEIFeD63cX4 | 54.209.224.115  |              48 |
| hodor               | f1be7984fd2b7a055fcd45c597d1224a3581cf78 | 8b55hP0regVfzUXFl9EiSjWBz3g | 37.157.195.178  |              48 |
| PPTOR0014           | 151507d30e097bdec8551da40730322c1688318e | FRUH0w4Je97IVR2kBzAyLBaIMY4 | 217.114.213.18  |              48 |
| fortas              | f426d8f8cd1d8a92f1c037bc3fad23b012c4178b | 9CbY+M0dipLxwDe8P60jsBLEF4s | 193.219.33.14   |              48 |
| PDRSTor             | 28cc34733185e79febcfd44a694a05ad31a36970 | KMw0czGF55/rz9RKaUoFrTGjaXA | 176.51.169.237  |              48 |
| lart                | d0bef4c3622d1d9e87ce66ff5be8629eb323a709 | 0L70w2ItHZ6Hzmb/W+hinrMjpwk | 198.100.148.146 |              48 |
| mexica              | e96336926e389fca588114a53db7ebbd4c5def3e | 6WM2km44n8pYgRSlPbfrvUxd7z4 | 108.28.25.206   |              48 |
| eganrelaynode       | 16bed13dcf6058fbe8998f1f1ecf15fdcf9e47f8 | Fr7RPc9gWPvomY8fHs8V/c+eR/g | 67.227.240.79   |              48 |
| blackms             | a419913a8054fe372a7041075a499a309a20186e | pBmROoBU/jcqcEEHWkmaMJogGG4 | 5.249.145.153   |              48 |
| ToumaMisaka         | de40b137a7634fcde319587f701fb6b9a70a1de1 | 3kCxN6djT83jGVh/cB+2uacKHeE | 175.143.136.190 |              48 |
| nasrelay            | 41d42e69d5445f40d4dce32ac346bdad6b733b3b | QdQuadVEX0DU3OMqw0a9rWtzOzs | 79.203.89.42    |              48 |
| toronion            | 05157cc473913c9afbddf37a746bf9ac832d3ed3 | BRV8xHORPJr73fN6dGv5rIMtPtM | 81.169.153.167  |              48 |
| ppbytor1            | eb5ccd5fa868637289f426c133dc924a64d5e769 | 61zNX6hoY3KJ9CbBM9ySSmTV52k | 88.198.14.171   |              48 |
| Torinux             | 3330b2d0937e72da2c16217e212562245200e4cd | MzCy0JN+ctosFiF+ISViJFIA5M0 | 89.234.142.13   |              48 |
| FuckCensorship      | bedc3e58809c73a67e5e871021ee59dac2420c3a | vtw+WICcc6Z+XocQIe5Z2sJCDDo | 71.162.213.160  |              48 |
| PotatoPalace        | 39271e5cfff3570234acfd0eef34d1d77f103d4a | OSceXP/zVwI0rP0O7zTR138QPUo | 87.119.186.35   |              48 |
| pps03               | eaee2050e4466d0b271cb2a222157a59bf31521e | 6u4gUORGbQsnHLKiIhV6Wb8xUh4 | 23.80.226.5     |              48 |
| finagle             | 0f49107744c941ae88e31e6cf66ccdb85a2e4f84 | D0kQd0TJQa6I4x5s9mzNuFouT4Q | 50.47.2.77      |              48 |
| phantom             | ccb3443778d11da9d8bc44297e188490c1f4c21b | zLNEN3jRHanYvEQpfhiEkMH0whs | 89.229.51.229   |              48 |
| OnionOnMyBelt       | 412a8c96b65e80dcd2020a0416ddd57b81aea5e3 | QSqMlrZegNzSAgoEFt3Ve4GupeM | 208.102.86.159  |              48 |
| s6fb                | 37b11cce516d996f458bca29f666c22390496e64 | N7EczlFtmW9Fi8op9mbCI5BJbmQ | 85.25.200.90    |              48 |
| toxiroxiPL          | b0f47644230c793f5e86292e5d8c93ee6aae45f1 | sPR2RCMMeT9ehikuXYyT7mquRfE | 178.217.184.200 |              48 |
| chaoscomputerclub29 | 8a02dfa37e9ade11441dc7ffecc890681d7db7c6 | igLfo36a3hFEHcf/7MiQaB19t8Y | 77.244.254.229  |              48 |
| nodebytwink0rnet    | 9bf96af28633c021963f017ad50c59d8625a8242 | m/lq8oYzwCGWPwF61QxZ2GJagkI | 108.61.199.3    |              48 |
| axisflip            | 26cfbca0a5ed94c144372c136232995559efcbf2 | Js+8oKXtlMFENywTYjKZVVnvy/I | 50.173.138.37   |              48 |
| mcj0sat             | 0f2545d053cf1b32e380489f795058423df02584 | DyVF0FPPGzLjgEifeVBYQj3wJYQ | 37.221.192.251  |              48 |
| zomplnewkey         | deb3973f68b31140f733af428ce3b86fafd4cb2c | 3rOXP2izEUD3M69CjOO4b6/Uyyw | 162.243.123.220 |              48 |
